question_id,question,option_a,option_b,option_c,option_d,concept
5000,الجبر سؤال 1: كم يساوي 1/9 ؟,0.5,0.25,1,2,تعابير جبرية
5001,الجبر سؤال 2: كم يساوي 2/8 ؟,0.5,0.25,1,2,متغيرات
5002,الجبر سؤال 3: كم يساوي 3/2 ؟,0.5,0.25,1,2,تعابير جبرية
5003,الجبر سؤال 4: كم يساوي 4/2 ؟,0.5,0.25,1,2,متغيرات
5004,الجبر سؤال 5: كم يساوي 5/9 ؟,0.5,0.25,1,2,معادلات
5005,الجبر سؤال 6: كم يساوي 6/5 ؟,0.5,0.25,1,2,تعابير جبرية
5006,الجبر سؤال 7: كم يساوي 7/8 ؟,0.5,0.25,1,2,معادلات
5007,الجبر سؤال 8: كم يساوي 8/9 ؟,0.5,0.25,1,2,معادلات
5008,الجبر سؤال 9: كم يساوي 9/9 ؟,0.5,0.25,1,2,معادلات
5009,الجبر سؤال 10: كم يساوي 10/7 ؟,0.5,0.25,1,2,متغيرات
5010,الجبر سؤال 11: كم يساوي 11/5 ؟,0.5,0.25,1,2,معادلات
5011,الجبر سؤال 12: كم يساوي 12/7 ؟,0.5,0.25,1,2,معادلات
5012,الجبر سؤال 13: كم يساوي 13/9 ؟,0.5,0.25,1,2,متغيرات
5013,الجبر سؤال 14: كم يساوي 14/6 ؟,0.5,0.25,1,2,تعابير جبرية
5014,الجبر سؤال 15: كم يساوي 15/7 ؟,0.5,0.25,1,2,تعابير جبرية
5015,الجبر سؤال 16: كم يساوي 16/8 ؟,0.5,0.25,1,2,تعابير جبرية
5016,الجبر سؤال 17: كم يساوي 17/3 ؟,0.5,0.25,1,2,متغيرات
5017,الجبر سؤال 18: كم يساوي 18/3 ؟,0.5,0.25,1,2,تعابير جبرية
5018,الجبر سؤال 19: كم يساوي 19/8 ؟,0.5,0.25,1,2,متغيرات
5019,الجبر سؤال 20: كم يساوي 20/4 ؟,0.5,0.25,1,2,متغيرات
5020,الجبر سؤال 21: كم يساوي 21/8 ؟,0.5,0.25,1,2,معادلات
5021,الجبر سؤال 22: كم يساوي 22/4 ؟,0.5,0.25,1,2,متغيرات
5022,الجبر سؤال 23: كم يساوي 23/2 ؟,0.5,0.25,1,2,معادلات
5023,الجبر سؤال 24: كم يساوي 24/8 ؟,0.5,0.25,1,2,معادلات
5024,الجبر سؤال 25: كم يساوي 25/3 ؟,0.5,0.25,1,2,معادلات
5025,الجبر سؤال 26: كم يساوي 26/6 ؟,0.5,0.25,1,2,تعابير جبرية
5026,الجبر سؤال 27: كم يساوي 27/3 ؟,0.5,0.25,1,2,تعابير جبرية
5027,الجبر سؤال 28: كم يساوي 28/3 ؟,0.5,0.25,1,2,تعابير جبرية
5028,الجبر سؤال 29: كم يساوي 29/9 ؟,0.5,0.25,1,2,متغيرات
5029,الجبر سؤال 30: كم يساوي 30/6 ؟,0.5,0.25,1,2,معادلات
5030,الجبر سؤال 31: كم يساوي 31/8 ؟,0.5,0.25,1,2,متغيرات
5031,الجبر سؤال 32: كم يساوي 32/5 ؟,0.5,0.25,1,2,تعابير جبرية
5032,الجبر سؤال 33: كم يساوي 33/3 ؟,0.5,0.25,1,2,معادلات
5033,الجبر سؤال 34: كم يساوي 34/5 ؟,0.5,0.25,1,2,تعابير جبرية
5034,الجبر سؤال 35: كم يساوي 35/3 ؟,0.5,0.25,1,2,متغيرات
5035,الجبر سؤال 36: كم يساوي 36/7 ؟,0.5,0.25,1,2,متغيرات
5036,الجبر سؤال 37: كم يساوي 37/8 ؟,0.5,0.25,1,2,معادلات
5037,الجبر سؤال 38: كم يساوي 38/4 ؟,0.5,0.25,1,2,تعابير جبرية
5038,الجبر سؤال 39: كم يساوي 39/8 ؟,0.5,0.25,1,2,متغيرات
5039,الجبر سؤال 40: كم يساوي 40/7 ؟,0.5,0.25,1,2,معادلات
5040,الجبر سؤال 41: كم يساوي 41/7 ؟,0.5,0.25,1,2,تعابير جبرية
5041,الجبر سؤال 42: كم يساوي 42/7 ؟,0.5,0.25,1,2,معادلات
5042,الجبر سؤال 43: كم يساوي 43/5 ؟,0.5,0.25,1,2,تعابير جبرية
5043,الجبر سؤال 44: كم يساوي 44/9 ؟,0.5,0.25,1,2,معادلات
5044,الجبر سؤال 45: كم يساوي 45/6 ؟,0.5,0.25,1,2,معادلات
5045,الجبر سؤال 46: كم يساوي 46/7 ؟,0.5,0.25,1,2,معادلات
5046,الجبر سؤال 47: كم يساوي 47/9 ؟,0.5,0.25,1,2,تعابير جبرية
5047,الجبر سؤال 48: كم يساوي 48/4 ؟,0.5,0.25,1,2,تعابير جبرية
5048,الجبر سؤال 49: كم يساوي 49/9 ؟,0.5,0.25,1,2,معادلات
5049,الجبر سؤال 50: كم يساوي 50/5 ؟,0.5,0.25,1,2,تعابير جبرية
