question_id,question,option_a,option_b,option_c,option_d,concept
3000,النسبة المئوية سؤال 1: كم يساوي 1/2 ؟,0.5,0.25,1,2,نسبة من كمية
3001,النسبة المئوية سؤال 2: كم يساوي 2/5 ؟,0.5,0.25,1,2,تحويل النسبة
3002,النسبة المئوية سؤال 3: كم يساوي 3/2 ؟,0.5,0.25,1,2,النسبة المئوية
3003,النسبة المئوية سؤال 4: كم يساوي 4/7 ؟,0.5,0.25,1,2,النسبة المئوية
3004,النسبة المئوية سؤال 5: كم يساوي 5/5 ؟,0.5,0.25,1,2,تحويل النسبة
3005,النسبة المئوية سؤال 6: كم يساوي 6/5 ؟,0.5,0.25,1,2,نسبة من كمية
3006,النسبة المئوية سؤال 7: كم يساوي 7/3 ؟,0.5,0.25,1,2,تحويل النسبة
3007,النسبة المئوية سؤال 8: كم يساوي 8/7 ؟,0.5,0.25,1,2,نسبة من كمية
3008,النسبة المئوية سؤال 9: كم يساوي 9/2 ؟,0.5,0.25,1,2,نسبة من كمية
3009,النسبة المئوية سؤال 10: كم يساوي 10/6 ؟,0.5,0.25,1,2,النسبة المئوية
3010,النسبة المئوية سؤال 11: كم يساوي 11/9 ؟,0.5,0.25,1,2,تحويل النسبة
3011,النسبة المئوية سؤال 12: كم يساوي 12/2 ؟,0.5,0.25,1,2,نسبة من كمية
3012,النسبة المئوية سؤال 13: كم يساوي 13/3 ؟,0.5,0.25,1,2,نسبة من كمية
3013,النسبة المئوية سؤال 14: كم يساوي 14/8 ؟,0.5,0.25,1,2,نسبة من كمية
3014,النسبة المئوية سؤال 15: كم يساوي 15/4 ؟,0.5,0.25,1,2,نسبة من كمية
3015,النسبة المئوية سؤال 16: كم يساوي 16/3 ؟,0.5,0.25,1,2,النسبة المئوية
3016,النسبة المئوية سؤال 17: كم يساوي 17/7 ؟,0.5,0.25,1,2,نسبة من كمية
3017,النسبة المئوية سؤال 18: كم يساوي 18/8 ؟,0.5,0.25,1,2,النسبة المئوية
3018,النسبة المئوية سؤال 19: كم يساوي 19/7 ؟,0.5,0.25,1,2,تحويل النسبة
3019,النسبة المئوية سؤال 20: كم يساوي 20/2 ؟,0.5,0.25,1,2,نسبة من كمية
3020,النسبة المئوية سؤال 21: كم يساوي 21/9 ؟,0.5,0.25,1,2,نسبة من كمية
3021,النسبة المئوية سؤال 22: كم يساوي 22/5 ؟,0.5,0.25,1,2,النسبة المئوية
3022,النسبة المئوية سؤال 23: كم يساوي 23/5 ؟,0.5,0.25,1,2,تحويل النسبة
3023,النسبة المئوية سؤال 24: كم يساوي 24/7 ؟,0.5,0.25,1,2,النسبة المئوية
3024,النسبة المئوية سؤال 25: كم يساوي 25/8 ؟,0.5,0.25,1,2,النسبة المئوية
3025,النسبة المئوية سؤال 26: كم يساوي 26/7 ؟,0.5,0.25,1,2,تحويل النسبة
3026,النسبة المئوية سؤال 27: كم يساوي 27/6 ؟,0.5,0.25,1,2,نسبة من كمية
3027,النسبة المئوية سؤال 28: كم يساوي 28/9 ؟,0.5,0.25,1,2,النسبة المئوية
3028,النسبة المئوية سؤال 29: كم يساوي 29/2 ؟,0.5,0.25,1,2,نسبة من كمية
3029,النسبة المئوية سؤال 30: كم يساوي 30/3 ؟,0.5,0.25,1,2,النسبة المئوية
3030,النسبة المئوية سؤال 31: كم يساوي 31/6 ؟,0.5,0.25,1,2,نسبة من كمية
3031,النسبة المئوية سؤال 32: كم يساوي 32/2 ؟,0.5,0.25,1,2,تحويل النسبة
3032,النسبة المئوية سؤال 33: كم يساوي 33/9 ؟,0.5,0.25,1,2,النسبة المئوية
3033,النسبة المئوية سؤال 34: كم يساوي 34/7 ؟,0.5,0.25,1,2,تحويل النسبة
3034,النسبة المئوية سؤال 35: كم يساوي 35/3 ؟,0.5,0.25,1,2,نسبة من كمية
3035,النسبة المئوية سؤال 36: كم يساوي 36/3 ؟,0.5,0.25,1,2,تحويل النسبة
3036,النسبة المئوية سؤال 37: كم يساوي 37/7 ؟,0.5,0.25,1,2,تحويل النسبة
3037,النسبة المئوية سؤال 38: كم يساوي 38/5 ؟,0.5,0.25,1,2,نسبة من كمية
3038,النسبة المئوية سؤال 39: كم يساوي 39/6 ؟,0.5,0.25,1,2,النسبة المئوية
3039,النسبة المئوية سؤال 40: كم يساوي 40/9 ؟,0.5,0.25,1,2,النسبة المئوية
3040,النسبة المئوية سؤال 41: كم يساوي 41/2 ؟,0.5,0.25,1,2,النسبة المئوية
3041,النسبة المئوية سؤال 42: كم يساوي 42/4 ؟,0.5,0.25,1,2,النسبة المئوية
3042,النسبة المئوية سؤال 43: كم يساوي 43/5 ؟,0.5,0.25,1,2,نسبة من كمية
3043,النسبة المئوية سؤال 44: كم يساوي 44/9 ؟,0.5,0.25,1,2,النسبة المئوية
3044,النسبة المئوية سؤال 45: كم يساوي 45/7 ؟,0.5,0.25,1,2,تحويل النسبة
3045,النسبة المئوية سؤال 46: كم يساوي 46/2 ؟,0.5,0.25,1,2,نسبة من كمية
3046,النسبة المئوية سؤال 47: كم يساوي 47/3 ؟,0.5,0.25,1,2,تحويل النسبة
3047,النسبة المئوية سؤال 48: كم يساوي 48/3 ؟,0.5,0.25,1,2,النسبة المئوية
3048,النسبة المئوية سؤال 49: كم يساوي 49/4 ؟,0.5,0.25,1,2,النسبة المئوية
3049,النسبة المئوية سؤال 50: كم يساوي 50/6 ؟,0.5,0.25,1,2,نسبة من كمية
